alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test,train
0.05,0.8505857011884126,0.5738847808658499,28251.237160831795,3.51939199339607e-10,6.915917244112804e-06,7.071355421053805e-06,0.4249879422893012,4.005479254043211e-06
0.0535433070866141,0.8892156572179244,0.6077888978430984,28152.108908583803,3.7205810960300367e-10,7.43429303560525e-06,7.590608022796653e-06,0.4170177729407783,4.176394045894714e-06
0.0570866141732283,0.9275337396957938,0.641861821629435,27952.541337201612,3.9527317183537934e-10,8.001500678967212e-06,8.159954047816938e-06,0.4075536315866655,4.347695359749223e-06
0.0606299212598425,0.9643181244145146,0.6749312371098933,27660.99839710074,4.1818963710176446e-10,8.556287826109933e-06,8.737818508659296e-06,0.400549808920896,4.533217854913194e-06
0.0641732283464567,1.0026788725858116,0.707719117935252,27370.731589388273,4.440158674572223e-10,9.17319196214774e-06,9.351060745037478e-06,0.3926515707758487,4.682532034808266e-06
0.0677165354330708,1.0383343512709593,0.7386861513403927,26977.59627770247,4.735494502597401e-10,9.82448997355322e-06,1.0030194028591282e-05,0.3842909048320986,4.874132997167308e-06
0.071259842519685,1.078509997756233,0.77188482039384,26566.02307073582,5.039123284670649e-10,1.0497298918625092e-05,1.070909427175447e-05,0.3763209830974466,5.045286269665936e-06
0.0748031496062992,1.11805327184764,0.8039117386711385,26106.3353552284,5.377699136259385e-10,1.1218906222989968e-05,1.143130392875086e-05,0.3691165127169431,5.210693525425227e-06
0.0783464566929133,1.1546229724724208,0.833689630557356,25598.110445685423,5.748207008276555e-10,1.1975771573270346e-05,1.2191381431468823e-05,0.3609166574533081,5.3738665056403496e-06
0.0818897637795275,1.194631068131559,0.8651299104148997,25031.062948409886,6.16837848177921e-10,1.279223244549454e-05,1.302871072809264e-05,0.3558341050625496,5.535371319282131e-06
0.0854330708661417,1.2365012678361469,0.8957506735813814,24489.923228083622,6.62437869859986e-10,1.3651243557208288e-05,1.3889812825367462e-05,0.3526531753098831,5.731516865736823e-06
0.0889763779527559,1.276109105583118,0.9247596586901976,23873.94607303031,7.151313116298341e-10,1.4592470612696123e-05,1.484834197147161e-05,0.3455342395482653,5.853741308355274e-06
0.09251968503937,1.3187643522880508,0.9546227445015668,23226.97947335655,7.735096526627091e-10,1.557486177627869e-05,1.583374866294007e-05,0.3397211341388458,6.029699341093775e-06
0.0960629921259842,1.361909977045254,0.9839521523645386,22571.209538882493,8.387558687741222e-10,1.6619467941859375e-05,1.691297775451316e-05,0.3334325919322203,6.2449417788596265e-06
0.0996062992125984,1.4060841340521986,1.0123398190697632,21883.451167797964,9.161023468310731e-10,1.7792918085665697e-05,1.8092009104882977e-05,0.3290620900054039,6.3975764245424005e-06
0.1031496062992126,1.4486875189918458,1.0392130202492424,21153.525215702903,1.005275316357333e-09,1.9047500926838e-05,1.9353062571861937e-05,0.3274439386836893,6.574464928045748e-06
0.1066929133858267,1.499227840027318,1.0689849836729746,20389.565270707568,1.110094913654425e-09,2.0431801510418987e-05,2.0746249416504744e-05,0.3204372309301225,6.783007304548845e-06
0.1102362204724409,1.5502096864951382,1.0970014410649198,19613.73181819565,1.234988481379884e-09,2.1963860998362816e-05,2.22796985820559e-05,0.3200956723467864,6.960901662966504e-06
0.1137795275590551,1.6037630056015493,1.124965979435991,18819.88735592393,1.3801792049799075e-09,2.3607311662409157e-05,2.395082034913528e-05,0.3158982048366202,7.162298171075421e-06
0.1173228346456693,1.6620901150826897,1.1544526897633658,17961.878728556487,1.559596041728085e-09,2.545049475735051e-05,2.5809086390607487e-05,0.3137378113074038,7.3621029700769535e-06
0.1208661417322834,1.72181765085904,1.18240118781018,17105.42825818621,1.781621453498532e-09,2.760181243756448e-05,2.794462372538887e-05,0.3153376544820734,7.571056376731568e-06
0.1244094488188976,1.791700633201198,1.2121577257123708,16197.399773038807,2.062607346455921e-09,2.997178394075955e-05,3.0351412653926215e-05,0.314412235023066,7.808914225978174e-06
0.1279527559055118,1.8610906198327088,1.2406804173658177,15270.38516017266,2.4089461346891334e-09,3.264671330832163e-05,3.301703842116989e-05,0.3138833206269207,8.060194644311378e-06
0.131496062992126,1.947219259201192,1.2712937815763148,14318.227721638335,2.8859896131120855e-09,3.584574801360335e-05,3.619334224994446e-05,0.3160807006450013,8.362388680547388e-06
0.1350393700787401,2.0364816820063947,1.3016507521041256,13294.665692485918,3.513132737256659e-09,3.956890335578337e-05,3.993673910116109e-05,0.3201886092912199,8.5003490540759e-06
0.1385826771653543,2.1475161145076354,1.3360181412017538,12184.3760418869,4.451866099178434e-09,4.436191616056618e-05,4.470817315144913e-05,0.3220579790100853,8.938373267512543e-06
0.1421259842519684,2.268508675000394,1.3699615336922282,11015.36611863661,5.81429356865721e-09,5.032355727948309e-05,5.05902379516552e-05,0.3288448968472982,9.242932572617115e-06
0.1456692913385827,2.4141306361166,1.4081795934081147,9751.570189869984,8.013562094237596e-09,5.8330925444131645e-05,5.851502563684652e-05,0.3382745769314522,9.651405372066413e-06
0.1492125984251968,2.5926583756739765,1.4495768504616129,8464.641656478703,1.1616848281279374e-08,6.884175268143115e-05,6.874659750815364e-05,0.3480634466895623,1.0160391193212282e-05
0.152755905511811,2.8259851003622822,1.4978581650803964,7059.315727690804,1.8639122811003787e-08,8.458386433225219e-05,8.397587954085055e-05,0.3633939192076906,1.0849097153697207e-05
0.1562992125984252,3.116040941341833,1.553272009566153,5585.418710769061,3.3751113040149694e-08,0.0001097280252877,0.0001080585469054,0.3813920056948669,1.2115077900465784e-05
0.1598425196850393,3.4704162015367768,1.615737209575282,4150.4256501053205,6.982942540968055e-08,0.0001512645684558,0.0001472134534624,0.4032326582904111,1.2826531840452038e-05
0.1633858267716535,3.8496279759488097,1.678999750774082,2924.838133554159,1.5970660350168274e-07,0.0002206370794275,0.0002110481622053,0.4195563889658852,1.4948678391439197e-05
0.1669291338582677,4.205048727248022,1.7401249209896033,2039.6961321727913,3.6332338658090907e-07,0.0003244307278627,0.0003043503680463,0.4322674444142942,1.7642754998935988e-05
0.1704724409448819,4.5130670458780315,1.7933215051097735,1464.337120593606,7.653681149985513e-07,0.000465352918828,0.0004269838568218,0.4481270874480877,2.3349484247948092e-05
0.174015748031496,4.7735843227465615,1.840709100647038,1077.0920870977277,1.4934867971548309e-06,0.0006447073848611,0.0005796240408454,0.4518316323136431,3.037293158596741e-05
0.1775590551181102,4.962983915073018,1.8804774285945152,824.9647646852034,2.6449476015269808e-06,0.0008620174606364,0.0007605893489644,0.4546089276194112,3.887294949687307e-05
0.1811023622047244,5.145803659210162,1.9167677723740653,651.4941151110855,4.388766435344611e-06,0.0011142981720321,0.0009649211046904,0.4550035309366979,4.937510228020226e-05
0.1846456692913385,5.28189822217623,1.9487511936135185,525.3641260324081,6.8893266067927445e-06,0.0014107206220014,0.0012000431491356,0.4587780305464625,6.690049820528188e-05
0.1881889763779527,5.392223378814046,1.978224877898771,429.93717186796334,1.041361097388498e-05,0.0017517133858291,0.0014675776918762,0.4549747000804,8.116949007623163e-05
0.1917322834645669,5.513897311849375,2.00704012075017,362.5114913802915,1.4941738854714129e-05,0.0021188502134156,0.0017484058385543,0.4559239966671791,0.0001039797250494
0.1952755905511811,5.604194768003541,2.0332954123261784,308.08414351251724,2.0887028533865143e-05,0.0025408798115226,0.0020641507362761,0.454923277467783,0.0001316390796739
0.1988188976377952,5.686664059450526,2.056814115565089,266.66594606565025,2.8008674202723035e-05,0.002974224679257,0.0023830917137319,0.4516320820165926,0.0001472758900327
0.2023622047244094,5.737407371391035,2.0768735079894944,230.43241039168203,3.754978614311296e-05,0.0034973926643297,0.0027678982007058,0.4500909431111469,0.0002040693077221
0.2059055118110236,5.8113008584058745,2.0989577437831723,203.80064283377604,4.823844444288235e-05,0.0040029760285462,0.0031329911818266,0.4514188991591408,0.0002218944196691
0.2094488188976377,5.860231766152305,2.117255241361469,181.53012632820725,6.102134475243008e-05,0.0045706175066027,0.0035363695343019,0.4424416346024765,0.0002922340035534
0.212992125984252,5.875925129055871,2.133097518170079,160.6290629866163,7.708579760266483e-05,0.0052132852636311,0.0039944414345103,0.4417067028531758,0.0003271256749267
0.2165354330708661,5.922120476754977,2.1502086955011337,144.582771897335,9.536621400493188e-05,0.0058754617021843,0.0044561286015826,0.4414389584201831,0.0004017591371616
0.2200787401574803,5.911845770640315,2.159707105401088,130.1456567653818,0.0001162001604781,0.0065789126581591,0.0049555883429174,0.4340613963055741,0.0004361221256448
