alpha,q,m,sigma,q_hat,m_hat,sigma_hat,test
0.02,0.7138420966936097,0.34492034077658,25.5631216436959,0.0001546580941257,0.0022052401004019,0.0028139090869529,0.524099722620865
0.0213014370561874,0.0661579938142367,0.0632023918543421,7.289649816747365,0.0002865387721164,0.0034794604427804,0.005154517143043,0.43840670032060763
0.0226875610329358,0.8308580965782368,0.427258319570069,26.578552291713816,0.000203444901279,0.0029252854756545,0.0041019646226506,0.5080603969811421
0.0241638826650747,0.164673978714082,0.1435525395421529,13.935302037097186,0.0004228854610988,0.004602484576337,0.006922953979009,0.4367385523649699
0.0257362712811595,0.3683266995678086,0.2581664870673589,20.289843471075383,0.0001606551116821,0.0028836216956061,0.0038847781001495,0.4550497724327268
0.0274109781378292,0.1917608578257029,0.1724808951137504,15.21656717384996,0.0001890383025512,0.0033614319360204,0.0046628891813035,0.4303435098732827
0.029194661272575,0.2318774011327443,0.205518953003664,16.986589059786173,0.0002303265115673,0.0038681618303467,0.0054589978453881,0.4290972990153377
0.0310944119737236,0.2772195952689633,0.2389397191657991,18.37867455603741,0.0002282204847679,0.0039975684089438,0.0056045181309045,0.42517401805254873
0.0331177829728718,0.2866279430673153,0.251144639708875,18.60002866071995,0.000238258464528,0.0042489673816097,0.005930081343915,0.4224064965563657
0.0352728184718553,0.297650451725576,0.2655018317632424,18.848245502494407,0.0002437077417767,0.0044534548546427,0.0061914442569791,0.4172039229823774
0.0375680861236276,0.3100562854937272,0.2797967315924757,19.114407549356464,0.0002519870199929,0.0047030890489995,0.0065165656800733,0.4123626852115604
0.0400127110941943,0.3249119851741998,0.2963770925723291,19.388146939429923,0.0002615260586649,0.0049768830926843,0.0068967254092537,0.4099295852131919
0.0426164123410197,0.3419649159531423,0.3154896822068481,19.67216562856291,0.0002695945332753,0.0052540407980062,0.0072211515280435,0.4046935632475654
0.0453895412521382,0.3554873692027277,0.3321473468651291,19.85399637808893,0.0002784562882142,0.0055473400585671,0.0076090962255267,0.4001484477928355
0.0483431227995823,0.3707054513744335,0.3509680270137995,20.006414057312135,0.0002880394703291,0.0058508636465443,0.0079806586299257,0.3928932895356459
0.0514888993707423,0.391372820906364,0.3742877642387594,20.195291547066287,0.0003000744672303,0.0062267569191574,0.008456804515796,0.3874725845592215
0.0548393774519119,0.4070694376779892,0.3943123933905642,20.254239467946828,0.00031166994314,0.0066087863973812,0.0089474944383568,0.37959130761533794
0.0584078773496204,0.428223354331221,0.4186632952304427,20.362785344503628,0.0003251299916318,0.0070604889432349,0.0094314611306825,0.3721889819398641
0.0622085861474229,0.4486467044598305,0.4431212565056042,20.382888858585822,0.00034137426463,0.0075435284859246,0.0100925841813538,0.36377529730886005
0.0662566141086874,0.4697078303232084,0.4674388727308327,20.405842572155116,0.0003554068167984,0.0080025613926058,0.0106140274857152,0.356472693798905
0.0705680547496154,0.4898037092659535,0.4925526209312438,20.283831855125385,0.0003739451293787,0.008591581232679,0.0113846514235695,0.3466369452478504
0.0751600488213262,0.514571142098527,0.5211425980933138,20.199857840988425,0.0003930868859321,0.0091879321692369,0.0121168457684703,0.3399932815882545
0.080050852455373,0.5371268797603098,0.5486157513618167,19.98464672283084,0.0004163158455244,0.0099182016392543,0.0129522396288817,0.32998237567997973
0.0852599097436139,0.5675422756435923,0.5811617343571206,19.82888628818479,0.0004412019801736,0.0106583151221647,0.0138814772265763,0.3215923490108859
0.090807930040991,0.5964092965261454,0.6129747197524492,19.55388789387596,0.0004714008824857,0.0115491090610921,0.0149885668036763,0.31507325167841105
0.0967169702985423,0.6224184223361107,0.6441208312772042,19.153594529493965,0.0005036858716261,0.0125410619116679,0.0161525336448121,0.3038451832368308
0.1030105227539777,0.6522875718523196,0.6768113424717227,18.722007310437053,0.0005425737418968,0.0136530669997728,0.0174369441292501,0.2941677971113347
0.1097136083284412,0.6828574437654706,0.7094685154028179,18.237035359727255,0.0005852544339461,0.0148260613541364,0.0187855351418614,0.2867470033671321
0.116852876100775,0.7179959261811969,0.7458672428355317,17.69965827006905,0.000641357350896,0.0163248446853497,0.0206219479627549,0.27410234484329515
0.1244567092547566,0.7528164940362374,0.7809013253574123,17.108382089421102,0.0006960402380559,0.0178203584624916,0.0222639963447198,0.2642493181675126
0.1325553379205213,0.7926576478579374,0.8192958044911552,16.463897693248267,0.0007710610893075,0.01968053626913,0.0244069991213784,0.2553236319144396
0.1411809593587824,0.8342149290315832,0.85792547571406,15.701993180757352,0.0008568474751378,0.02179626117297,0.0268270339119739,0.24679009820724693
0.1503678659656633,0.8811318310276756,0.8992328508047169,14.955087689432087,0.0009635190843952,0.024230665335279,0.0295136302915169,0.23883317438090992
0.1601525816070407,0.9259956106622962,0.9357599863524038,14.199299117492792,0.001096770943045,0.0269585621844393,0.0326094478946616,0.2307394008295718
0.1705740068244154,0.9736658941695162,0.9750934084030588,13.350454330598158,0.0012595369121826,0.0303478933347783,0.0363069056810085,0.2247304013093535
0.181673573489599,1.0220790232568326,1.012924742362486,12.48084455614686,0.0014642817080908,0.0342280526418801,0.0405965981224612,0.21806777767080765
0.1934954095230673,1.0720878272507284,1.0523887814930155,11.509984160639814,0.0017315392308364,0.0389226209463331,0.0456370691111318,0.21047305776309783
0.2060865143308419,1.1277508347255776,1.093388314797792,10.600297134890829,0.0020495397874513,0.0443919877766944,0.051406807899672,0.20368863290674374
0.2194969456573755,1.1815450975894382,1.129969701186643,9.697158569558766,0.0024817443568493,0.0506187715364878,0.0580397435059661,0.19910621252470825
0.2337800185972996,1.2329788267405672,1.1658872340851374,8.838385260431831,0.0030226371077478,0.0583439653462208,0.0660454777403335,0.19455435537358368
0.2489925175572358,1.2848646906919454,1.200507707025134,8.040719333077748,0.0036408695520929,0.0664645487499808,0.0743105682006424,0.1888481132572105
0.2651949220103559,1.330889655628063,1.2322825099461825,7.26720649816091,0.0044223574094881,0.076050663808457,0.0842232973687526,0.18426548389286068
0.2824516469412074,1.366641589484646,1.2591542265890496,6.491524912703219,0.0053945011104405,0.0871085316741058,0.0955126879599872,0.17849698094160588
0.300831298936731,1.3987729247814666,1.2839822452745722,5.791704368810249,0.0066826583778259,0.1013894132543252,0.1103806404308852,0.17459152506150258
0.3204069489415949,1.427590184579495,1.3063346050699998,5.161623262488275,0.0082241934844641,0.1170700294196239,0.1264721017037569,0.17021727778638243
0.3412564227622232,1.4520830362649175,1.32639659187934,4.614622350018435,0.0099013082065585,0.1336220191524778,0.1433403559626861,0.16482536700911388
0.3634626104744601,1.4687238924261057,1.3423606512262782,4.122392089351624,0.0120049449547758,0.1536308051762891,0.1638647784938788,0.16043209160687955
0.3871137959649653,1.476289122592794,1.35527351054106,3.656602938470006,0.0144851779974433,0.17584370959337,0.1872335731163828,0.1554572754251357
0.4123040079164758,1.4785497882884362,1.3650467915743536,3.2527822445485115,0.0171995189521516,0.2001545067841951,0.212500377227799,0.1495862522199655
0.4391333936323318,1.471173405350774,1.3699804164617253,2.8841537366552057,0.0204864511637548,0.2293030062989072,0.2432409000531664,0.14491284540550253
0.467708617186456,1.4737273858294535,1.377876551740454,2.6015020183662556,0.0238529607938976,0.256069977827633,0.2713091998685082,0.14246069311374066
0.498143283481689,1.4650821841628094,1.3814186906977737,2.3307133863407588,0.0277869366926389,0.289568396995591,0.3071139995453278,0.13634711125688398
0.530558389902388,1.4543407122585534,1.3841014922946042,2.073124311558873,0.0324414413406688,0.3286317402880998,0.3489875403041337,0.13136737814784874
0.5650828073568951,1.4355585152936785,1.3809257692275558,1.8637816742337896,0.0370741856121886,0.3626226917507669,0.3866043021956406,0.12772119020931721
0.6018537926223309,1.4273270818971735,1.3829675810824855,1.683375929243118,0.0423234388262476,0.4062984014781073,0.4333957170053713,0.12383717922154067
0.641017534028615,1.4152519729070834,1.3826784496663396,1.519296514899421,0.0485105177318858,0.4559021789931984,0.4868584176089296,0.12079712219531488
0.6827297326511534,1.4006952891112152,1.3811304176481434,1.370934053024362,0.0547937465973762,0.5041986419942975,0.5409106552647895,0.11705428415787943
0.7271562213228127,1.384893974468031,1.3773068515995237,1.2461038439362122,0.0618111399386897,0.5545040644964774,0.5965585221633434,0.11365893613294079
0.7744736239261518,1.3758094596163797,1.3777496309345685,1.135571285406475,0.0688294052407067,0.6158244512336627,0.6635938563010909,0.11095999262359336
0.8248700575870174,1.3629677598329164,1.3743815877964924,1.0445007257642536,0.0763115460076657,0.6694736860775128,0.7240856581062722,0.10946392321276557
0.8785458805611797,1.3477929523694017,1.37104537257969,0.9427020607165012,0.0855668536659025,0.7438833034349005,0.805994817003151,0.1060907212860553
0.9357144887873392,1.33739561803951,1.3689261714532803,0.8651539993674421,0.0947441925056457,0.8060030618077659,0.8761497598999652,0.10443907043435158
0.9966031642733082,1.327041712747732,1.3670333706193405,0.7915530002487768,0.1054535686176242,0.8928319354467883,0.9718314469419018,0.10171639368905809
1.0614539786882573,1.3135020843161915,1.363046072999961,0.7266966855490997,0.1156329431975247,0.9717992668864954,1.0613109281908903,0.09936424095914874
1.1305247557533848,1.305220472825296,1.3609978741600348,0.6732183097731144,0.1265378156150383,1.0581363554659942,1.1583613680035365,0.09862989199183246
